Record Type,Personnum,Last Name,First Name,MI,Shift Date,Start Time,End Date,Duration,Shift Type,Null,Null,Processed Time,Job Code,q,Worked Costs Center,Facility ID
SCHEDIMPORT,50007,Last008,First008,U,20230909,11:00,23:30,12:30,REG,,,2.02E+11,N1212,56110,56110,CNMC
SCHEDIMPORT,50007,Last008,First008,U,20230910,11:00,23:30,12:30,REG,,,2.02E+11,N1212,56110,56110,CNMC
SCHEDIMPORT,50008,Last009,First009,M,20230906,11:00,23:30,12:30,REG,,,2.02E+11,N1318,41055,41055,CNMC
SCHEDIMPORT,50008,Last009,First009,M,20230908,7:00,19:30,12:30,REG,,,2.02E+11,N1318,41055,41055,CNMC
SCHEDIMPORT,50008,Last009,First009,M,20230912,7:00,19:30,12:30,REG,,,2.02E+11,N1318,41055,41055,CNMC
SCHEDIMPORT,50009,Last010,First010,C,20230909,7:00,19:30,12:30,REG,,,2.02E+11,P5812,42150,42150,CNMC
SCHEDIMPORT,50009,Last010,First010,C,20230910,7:00,19:30,12:30,REG,,,2.02E+11,P5812,42150,42150,CNMC
SCHEDIMPORT,50009,Last010,First010,C,20230912,7:00,19:30,12:30,REG,,,2.02E+11,P5812,42150,42150,CNMC
SCHEDIMPORT,50010,Last011,First011,D,20230908,19:00,7:30,12:30,REG,,,2.02E+11,T1350,53430,53430,CNMC
SCHEDIMPORT,50010,Last011,First011,D,20230910,19:00,7:30,12:30,REG,,,2.02E+11,T1350,53430,53430,CNMC
SCHEDIMPORT,50010,Last011,First011,D,20230911,19:00,7:30,12:30,REG,,,2.02E+11,T1350,53430,53430,CNMC
SCHEDIMPORT,50011,Last012,First012,J,20230909,7:00,19:30,12:30,REG,,,2.02E+11,N1314,41055,41055,CNMC
SCHEDIMPORT,50011,Last012,First012,J,20230910,7:00,19:30,12:30,REG,,,2.02E+11,N1314,41055,41055,CNMC
SCHEDIMPORT,50011,Last012,First012,J,20230912,7:00,19:30,12:30,REG,,,2.02E+11,N1314,41055,41055,CNMC
SCHEDIMPORT,50012,Last013,First013,N,20230905,19:00,7:30,12:30,REG,,,2.02E+11,N1211,42000,42000,CNMC
SCHEDIMPORT,50012,Last013,First013,N,20230908,19:00,7:30,12:30,REG,,,2.02E+11,N1211,42000,42000,CNMC
SCHEDIMPORT,50013,Last014,First014,M,20230906,7:00,19:30,12:30,REG,,,2.02E+11,N1211,42150,42150,CNMC
SCHEDIMPORT,50013,Last014,First014,M,20230908,19:00,7:30,12:30,REG,,,2.02E+11,N1211,42150,42150,CNMC
SCHEDIMPORT,50013,Last014,First014,M,20230909,19:00,7:30,12:30,REG,,,2.02E+11,N1211,42150,42150,CNMC
SCHEDIMPORT,50013,Last014,First014,M,20230910,19:00,7:30,12:30,REG,,,2.02E+11,N1211,42150,42150,CNMC
SCHEDIMPORT,50014,Last015,First015,,20230906,7:00,19:30,12:30,REG,,,2.02E+11,N1212,42000,42000,CNMC
SCHEDIMPORT,50014,Last015,First015,,20230907,7:00,19:30,12:30,REG,,,2.02E+11,N1212,42000,42000,CNMC
SCHEDIMPORT,50014,Last015,First015,,20230912,7:00,19:30,12:30,REG,,,2.02E+11,N1212,42000,42000,CNMC
SCHEDIMPORT,50015,Last016,First016,,20230905,7:00,19:30,12:30,REG,,,2.02E+11,HSC008,91678,91678,CNMC
SCHEDIMPORT,50015,Last016,First016,,20230907,19:00,7:30,12:30,REG,,,2.02E+11,HSC008,91678,91678,CNMC
SCHEDIMPORT,50015,Last016,First016,,20230908,19:00,7:30,12:30,REG,,,2.02E+11,HSC008,91678,91678,CNMC
SCHEDIMPORT,50015,Last016,First016,,20230909,19:00,7:30,12:30,REG,,,2.02E+11,HSC008,91678,91678,CNMC
SCHEDIMPORT,50016,Last017,First017,,20230907,19:00,7:30,12:30,REG,,,2.02E+11,R2125,53025,53025,CNMC
SCHEDIMPORT,50017,Last018,First018,,20230908,19:00,7:30,12:30,REG,,,2.02E+11,N1217,53430,53430,CNMC
SCHEDIMPORT,50017,Last018,First018,,20230909,19:00,7:30,12:30,REG,,,2.02E+11,N1217,53430,53430,CNMC
SCHEDIMPORT,50017,Last018,First018,,20230910,19:00,7:30,12:30,REG,,,2.02E+11,N1217,53430,53430,CNMC
SCHEDIMPORT,50018,Last019,First019,,20230905,19:00,7:30,12:30,REG,,,2.02E+11,P5812,42000,42000,CNMC
SCHEDIMPORT,50018,Last019,First019,,20230907,19:00,7:30,12:30,REG,,,2.02E+11,P5812,42000,42000,CNMC
SCHEDIMPORT,50018,Last019,First019,,20230910,19:00,7:30,12:30,REG,,,2.02E+11,P5812,42000,42000,CNMC
SCHEDIMPORT,50018,Last019,First019,,20230912,19:00,7:30,12:30,REG,,,2.02E+11,P5812,42000,42000,CNMC
SCHEDIMPORT,50019,Last020,First020,O,20230905,19:00,7:30,12:30,REG,,,2.02E+11,N1233,47005,47005,CNMC
SCHEDIMPORT,50019,Last020,First020,O,20230906,19:00,7:30,12:30,REG,,,2.02E+11,N1233,47005,47005,CNMC
SCHEDIMPORT,50019,Last020,First020,O,20230911,19:00,7:30,12:30,REG,,,2.02E+11,N1233,47005,47005,CNMC
SCHEDIMPORT,50019,Last020,First020,O,20230912,19:00,7:30,12:30,REG,,,2.02E+11,N1233,47005,47005,CNMC
SCHEDIMPORT,50020,Last021,First021,O,20230905,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42130,42130,CNMC
SCHEDIMPORT,50020,Last021,First021,O,20230908,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42130,42130,CNMC
SCHEDIMPORT,50020,Last021,First021,O,20230911,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42130,42130,CNMC
SCHEDIMPORT,50021,Last022,First022,,20230906,19:00,7:30,12:30,REG,,,2.02E+11,R2126,53025,53025,CNMC
SCHEDIMPORT,50021,Last022,First022,,20230907,19:00,7:30,12:30,REG,,,2.02E+11,R2126,53025,53025,CNMC
SCHEDIMPORT,50021,Last022,First022,,20230912,19:00,7:30,12:30,REG,,,2.02E+11,R2126,53025,53025,CNMC
SCHEDIMPORT,50022,Last023,First023,T,20230905,7:00,17:30,10:30,REG,,,2.02E+11,N1233,47005,47005,CNMC
SCHEDIMPORT,50022,Last023,First023,T,20230906,7:00,17:30,10:30,REG,,,2.02E+11,N1233,47005,47005,CNMC
SCHEDIMPORT,50022,Last023,First023,T,20230907,7:00,8:00,1:00,Ed-Mtg,,,2.02E+11,N1233,47005,47005,CNMC
SCHEDIMPORT,50022,Last023,First023,T,20230907,8:00,8:30,0:30,BREAK,,,2.02E+11,N1233,47005,47005,CNMC
SCHEDIMPORT,50022,Last023,First023,T,20230907,8:30,15:30,7:00,REG,,,2.02E+11,N1233,47005,47005,CNMC
SCHEDIMPORT,50022,Last023,First023,T,20230908,7:00,17:30,10:30,REG,,,2.02E+11,N1233,47005,47005,CNMC
SCHEDIMPORT,50022,Last023,First023,T,20230911,7:00,17:30,10:30,REG,,,2.02E+11,N1233,47005,47005,CNMC
SCHEDIMPORT,50022,Last023,First023,T,20230912,7:00,17:30,10:30,REG,,,2.02E+11,N1233,47005,47005,CNMC
SCHEDIMPORT,50023,Last024,First024,,20230906,19:00,7:30,12:30,REG,,,2.02E+11,N1232,42145,42145,CNMC
SCHEDIMPORT,50023,Last024,First024,,20230910,8:00,20:00,12:00,PTO,,,2.02E+11,N1232,42145,42145,CNMC
SCHEDIMPORT,50024,Last025,First025,,20230905,6:00,14:30,8:30,REG,,,2.02E+11,N1227,47010,47010,CNMC
SCHEDIMPORT,50024,Last025,First025,,20230905,23:00,7:30,8:30,REG,,,2.02E+11,N1227,47010,47010,CNMC
SCHEDIMPORT,50024,Last025,First025,,20230906,19:00,7:30,12:30,REG,,,2.02E+11,N1227,47010,47010,CNMC
SCHEDIMPORT,50024,Last025,First025,,20230908,19:00,7:30,12:30,REG,,,2.02E+11,N1212,47010,47010,CNMC
SCHEDIMPORT,50024,Last025,First025,,20230911,11:00,19:30,8:30,REG,,,2.02E+11,N1227,47010,47010,CNMC
SCHEDIMPORT,50024,Last025,First025,,20230912,8:00,16:30,8:30,REG,,,2.02E+11,N1227,47010,47010,CNMC
SCHEDIMPORT,50025,Last026,First026,O,20230906,19:00,7:30,12:30,REG,,,2.02E+11,PC063,91685,91685,CNMC
SCHEDIMPORT,50025,Last026,First026,O,20230910,19:00,7:30,12:30,REG,,,2.02E+11,PC063,91685,91685,CNMC
SCHEDIMPORT,50025,Last026,First026,O,20230911,19:00,7:30,12:30,REG,,,2.02E+11,PC063,91685,91685,CNMC
SCHEDIMPORT,50026,Last027,First027,J,20230911,7:00,19:30,12:30,REG,,,2.02E+11,R2129,53025,53025,CNMC
SCHEDIMPORT,50026,Last027,First027,J,20230912,7:00,19:30,12:30,REG,,,2.02E+11,R2129,53025,53025,CNMC
SCHEDIMPORT,50027,Last028,First028,R,20230905,7:00,19:30,12:30,REG,,,2.02E+11,N1212,42150,42150,CNMC
SCHEDIMPORT,50027,Last028,First028,R,20230910,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42150,42150,CNMC
SCHEDIMPORT,50028,Last029,First029,,20230906,6:00,14:30,8:30,REG,,,2.02E+11,N1212,47010,47010,CNMC
SCHEDIMPORT,50028,Last029,First029,,20230912,6:00,14:30,8:30,REG,,,2.02E+11,N1212,47010,47010,CNMC
SCHEDIMPORT,50029,Last030,First030,F,20230905,7:00,19:30,12:30,REG,,,2.02E+11,N1441,42150,42150,CNMC
SCHEDIMPORT,50029,Last030,First030,F,20230907,7:00,19:30,12:30,REG,,,2.02E+11,N1441,42150,42150,CNMC
SCHEDIMPORT,50029,Last030,First030,F,20230912,7:00,19:30,12:30,REG,,,2.02E+11,N1441,42150,42150,CNMC
SCHEDIMPORT,50030,Last031,First031,,20230905,7:00,17:30,10:30,REG,,,2.02E+11,N4500,42130,42130,CNMC
SCHEDIMPORT,50030,Last031,First031,,20230907,7:00,19:30,12:30,REG,,,2.02E+11,N4500,42130,42130,CNMC
SCHEDIMPORT,50030,Last031,First031,,20230908,7:00,17:30,10:30,REG,,,2.02E+11,N4500,42130,42130,CNMC
SCHEDIMPORT,50030,Last031,First031,,20230911,7:00,19:30,12:30,REG,,,2.02E+11,N4500,42130,42130,CNMC
SCHEDIMPORT,50030,Last031,First031,,20230912,7:00,15:30,8:30,REG,,,2.02E+11,N4500,42130,42130,CNMC
SCHEDIMPORT,50031,Last032,First032,P,20230909,19:00,7:30,12:30,REG,,,2.02E+11,N1452,42150,42150,CNMC
SCHEDIMPORT,50031,Last032,First032,P,20230910,19:00,7:30,12:30,REG,,,2.02E+11,N1452,42150,42150,CNMC
SCHEDIMPORT,50032,Last033,First033,A,20230907,19:00,7:30,12:30,REG,,,2.02E+11,R2126,53025,53025,CNMC
SCHEDIMPORT,50033,Last034,First034,,20230905,7:00,10:23,3:23,PTO,,,2.02E+11,N1212,42135,42135,CNMC
SCHEDIMPORT,50033,Last034,First034,,20230905,10:23,19:00,8:37,UNPAID,,,2.02E+11,N1212,42135,42135,CNMC
SCHEDIMPORT,50033,Last034,First034,,20230907,7:00,19:30,12:30,REG,,,2.02E+11,N1212,42135,42135,CNMC
SCHEDIMPORT,50034,Last035,First035,,20230906,7:00,19:30,12:30,REG,,,2.02E+11,N1314,41055,41055,CNMC
SCHEDIMPORT,50035,Last036,First036,T,20230907,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42130,42130,CNMC
SCHEDIMPORT,50035,Last036,First036,T,20230912,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42130,42130,CNMC
SCHEDIMPORT,50036,Last037,First037,L,20230905,7:00,19:30,12:30,REG,,,2.02E+11,N1212,42150,42150,CNMC
SCHEDIMPORT,50036,Last037,First037,L,20230906,7:00,19:30,12:30,REG,,,2.02E+11,N1212,42150,42150,CNMC
SCHEDIMPORT,50036,Last037,First037,L,20230909,7:00,19:30,12:30,REG,,,2.02E+11,N1212,42150,42150,CNMC
SCHEDIMPORT,50036,Last037,First037,L,20230910,7:00,19:30,12:30,REG,,,2.02E+11,N1212,42150,42150,CNMC
SCHEDIMPORT,50036,Last037,First037,L,20230911,7:00,19:30,12:30,REG,,,2.02E+11,N1212,42150,42150,CNMC
SCHEDIMPORT,50037,Last038,First038,,20230905,23:00,7:30,8:30,REG,,,2.02E+11,PC027,91835,91835,CNMC
SCHEDIMPORT,50037,Last038,First038,,20230906,23:00,7:30,8:30,REG,,,2.02E+11,PC027,91835,91835,CNMC
SCHEDIMPORT,50037,Last038,First038,,20230907,23:00,7:00,8:00,PTO,,,2.02E+11,PC027,91835,91835,CNMC
SCHEDIMPORT,50037,Last038,First038,,20230908,23:00,7:00,8:00,PTO,,,2.02E+11,PC027,91835,91835,CNMC
SCHEDIMPORT,50037,Last038,First038,,20230911,23:00,7:00,8:00,PTO,,,2.02E+11,PC027,91835,91835,CNMC
SCHEDIMPORT,50037,Last038,First038,,20230912,23:00,7:00,8:00,PTO,,,2.02E+11,PC027,91835,91835,CNMC
SCHEDIMPORT,50038,Last039,First039,F,20230905,7:00,17:30,10:30,REG,,,2.02E+11,R2120,53025,53025,CNMC
SCHEDIMPORT,50038,Last039,First039,F,20230907,7:00,17:30,10:30,REG,,,2.02E+11,R2120,53025,53025,CNMC
SCHEDIMPORT,50038,Last039,First039,F,20230908,7:00,17:30,10:30,REG,,,2.02E+11,R2120,53025,53025,CNMC
SCHEDIMPORT,50038,Last039,First039,F,20230911,7:00,17:30,10:30,REG,,,2.02E+11,R2120,53025,53025,CNMC
SCHEDIMPORT,50038,Last039,First039,F,20230912,7:00,17:30,10:30,REG,,,2.02E+11,R2120,53025,53025,CNMC
SCHEDIMPORT,50039,Last040,First040,E,20230907,19:00,7:30,12:30,REG,,,2.02E+11,P5812,42130,42130,CNMC
SCHEDIMPORT,50039,Last040,First040,E,20230909,7:00,19:30,12:30,REG,,,2.02E+11,P5812,42130,42130,CNMC
SCHEDIMPORT,50039,Last040,First040,E,20230910,7:00,19:30,12:30,REG,,,2.02E+11,P5812,42130,42130,CNMC
SCHEDIMPORT,50040,Last041,First041,U,20230905,19:00,7:30,12:30,REG,,,2.02E+11,T1350,53430,53430,CNMC
SCHEDIMPORT,50040,Last041,First041,U,20230906,19:00,7:30,12:30,REG,,,2.02E+11,T1350,53430,53430,CNMC
SCHEDIMPORT,50040,Last041,First041,U,20230909,19:00,7:30,12:30,REG,,,2.02E+11,T1350,53430,53430,CNMC
SCHEDIMPORT,50040,Last041,First041,U,20230910,19:00,7:30,12:30,REG,,,2.02E+11,T1350,53430,53430,CNMC
SCHEDIMPORT,50040,Last041,First041,U,20230911,7:30,9:30,2:00,Ed-Mtg,,,2.02E+11,T1350,53430,53430,CNMC
SCHEDIMPORT,50041,Last042,First042,A,20230908,19:00,7:30,12:30,REG,,,2.02E+11,R2126,53025,53025,CNMC
SCHEDIMPORT,50041,Last042,First042,A,20230909,19:00,7:30,12:30,REG,,,2.02E+11,R2126,53025,53025,CNMC
SCHEDIMPORT,50041,Last042,First042,A,20230910,19:00,7:30,12:30,REG,,,2.02E+11,R2126,53025,53025,CNMC
SCHEDIMPORT,50042,Last043,First043,M,20230905,7:00,19:30,12:30,REG,,,2.02E+11,N1211,42160,42160,CNMC
SCHEDIMPORT,50042,Last043,First043,M,20230906,7:00,19:30,12:30,REG,,,2.02E+11,N1211,42160,42160,CNMC
SCHEDIMPORT,50042,Last043,First043,M,20230908,7:00,19:30,12:30,REG,,,2.02E+11,N1211,42160,42160,CNMC
SCHEDIMPORT,50042,Last043,First043,M,20230911,7:00,19:30,12:30,REG,,,2.02E+11,N1211,42160,42160,CNMC
SCHEDIMPORT,50042,Last043,First043,M,20230912,7:00,19:30,12:30,REG,,,2.02E+11,N1211,42160,42160,CNMC
SCHEDIMPORT,50043,Last044,First044,M,20230908,7:00,19:30,12:30,REG,,,2.02E+11,P7115,56110,56110,CNMC
SCHEDIMPORT,50043,Last044,First044,M,20230911,7:00,19:30,12:30,REG,,,2.02E+11,P7115,56110,56110,CNMC
SCHEDIMPORT,50044,Last045,First045,S,20230905,8:00,20:00,12:00,PTO,,,2.02E+11,N1441,42150,42150,CNMC
SCHEDIMPORT,50045,Last046,First046,,20230905,8:00,16:30,8:30,REG,,,2.02E+11,T2111,59020,59020,CNMC
SCHEDIMPORT,50045,Last046,First046,,20230906,8:00,16:30,8:30,REG,,,2.02E+11,T2111,59020,59020,CNMC
SCHEDIMPORT,50045,Last046,First046,,20230907,8:00,16:30,8:30,REG,,,2.02E+11,T2111,59020,59020,CNMC
SCHEDIMPORT,50045,Last046,First046,,20230908,8:00,16:30,8:30,REG,,,2.02E+11,T2111,59020,59020,CNMC
SCHEDIMPORT,50045,Last046,First046,,20230911,8:00,16:30,8:30,REG,,,2.02E+11,T2111,59020,59020,CNMC
SCHEDIMPORT,50045,Last046,First046,,20230912,8:00,16:30,8:30,REG,,,2.02E+11,T2111,59020,59020,CNMC
SCHEDIMPORT,50046,Last047,First047,S,20230905,7:00,15:00,8:00,UNPAID,,,2.02E+11,P7115,42160,42160,CNMC
SCHEDIMPORT,50046,Last047,First047,S,20230906,7:00,15:00,8:00,UNPAID,,,2.02E+11,P7115,42160,42160,CNMC
SCHEDIMPORT,50046,Last047,First047,S,20230907,7:00,15:30,8:30,REG,,,2.02E+11,P7115,42160,42160,CNMC
SCHEDIMPORT,50046,Last047,First047,S,20230908,7:00,15:30,8:30,REG,,,2.02E+11,P7115,42160,42160,CNMC
SCHEDIMPORT,50046,Last047,First047,S,20230911,7:00,15:30,8:30,REG,,,2.02E+11,P7115,42160,42160,CNMC
SCHEDIMPORT,50046,Last047,First047,S,20230912,7:00,15:30,8:30,REG,,,2.02E+11,P7115,42160,42160,CNMC
SCHEDIMPORT,50047,Last048,First048,,20230905,7:00,19:30,12:30,REG,,,2.02E+11,PC049,91645,91696,CNMC
SCHEDIMPORT,50047,Last048,First048,,20230906,7:00,19:30,12:30,REG,,,2.02E+11,PC049,91645,91696,CNMC
SCHEDIMPORT,50047,Last048,First048,,20230909,7:00,19:30,12:30,REG,,,2.02E+11,PC049,91645,91696,CNMC
SCHEDIMPORT,50047,Last048,First048,,20230910,7:00,19:30,12:30,REG,,,2.02E+11,PC049,91645,91696,CNMC
SCHEDIMPORT,50048,Last049,First049,,20230905,15:00,23:30,8:30,REG,,,2.02E+11,P6441,47035,47035,CNMC
SCHEDIMPORT,50048,Last049,First049,,20230906,15:00,23:30,8:30,REG,,,2.02E+11,P6441,47035,47035,CNMC
SCHEDIMPORT,50048,Last049,First049,,20230907,15:00,23:30,8:30,REG,,,2.02E+11,P6441,47035,47035,CNMC
SCHEDIMPORT,50048,Last049,First049,,20230908,15:00,23:30,8:30,REG,,,2.02E+11,P6441,47035,47035,CNMC
SCHEDIMPORT,50048,Last049,First049,,20230909,15:00,23:30,8:30,REG,,,2.02E+11,P6441,47035,47035,CNMC
SCHEDIMPORT,50048,Last049,First049,,20230910,15:00,23:30,8:30,REG,,,2.02E+11,P6441,47035,47035,CNMC
SCHEDIMPORT,50048,Last049,First049,,20230911,15:00,23:30,8:30,REG,,,2.02E+11,P6441,47035,47035,CNMC
SCHEDIMPORT,50048,Last049,First049,,20230912,15:00,23:30,8:30,REG,,,2.02E+11,P6441,47035,47035,CNMC
SCHEDIMPORT,50049,Last050,First050,,20230912,19:00,7:30,12:30,REG,,,2.02E+11,P5812,42115,42115,CNMC
SCHEDIMPORT,50050,Last051,First051,,20230907,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42150,42150,CNMC
SCHEDIMPORT,50050,Last051,First051,,20230908,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42150,42150,CNMC
SCHEDIMPORT,50050,Last051,First051,,20230909,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42150,42150,CNMC
SCHEDIMPORT,50050,Last051,First051,,20230911,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42150,42150,CNMC
SCHEDIMPORT,50050,Last051,First051,,20230912,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42150,42150,CNMC
SCHEDIMPORT,50051,Last052,First052,N,20230905,15:00,23:30,8:30,REG,,,2.02E+11,A1143,42130,42130,CNMC
SCHEDIMPORT,50051,Last052,First052,N,20230906,15:00,19:30,4:30,REG,,,2.02E+11,A1143,42130,42130,CNMC
SCHEDIMPORT,50051,Last052,First052,N,20230907,15:00,19:30,4:30,REG,,,2.02E+11,A1143,42130,42130,CNMC
SCHEDIMPORT,50051,Last052,First052,N,20230907,19:00,7:30,12:30,REG,,,2.02E+11,A1143,42130,42130,CNMC
SCHEDIMPORT,50051,Last052,First052,N,20230908,19:00,7:30,12:30,REG,,,2.02E+11,A1143,42130,42130,CNMC
SCHEDIMPORT,50051,Last052,First052,N,20230910,7:00,19:30,12:30,REG,,,2.02E+11,A1143,42130,42130,CNMC
SCHEDIMPORT,50051,Last052,First052,N,20230911,15:00,23:30,8:30,REG,,,2.02E+11,A1143,42130,42130,CNMC
SCHEDIMPORT,50051,Last052,First052,N,20230912,15:00,19:30,4:30,REG,,,2.02E+11,A1143,42130,42130,CNMC
SCHEDIMPORT,50051,Last052,First052,N,20230912,19:00,7:30,12:30,REG,,,2.02E+11,A1143,42130,42130,CNMC
SCHEDIMPORT,50052,Last053,First053,A,20230905,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42130,42130,CNMC
SCHEDIMPORT,50052,Last053,First053,A,20230906,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42130,42130,CNMC
SCHEDIMPORT,50052,Last053,First053,A,20230908,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42130,42130,CNMC
SCHEDIMPORT,50052,Last053,First053,A,20230909,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42130,42130,CNMC
SCHEDIMPORT,50052,Last053,First053,A,20230911,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42130,42130,CNMC
SCHEDIMPORT,50052,Last053,First053,A,20230912,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42130,42130,CNMC
SCHEDIMPORT,50053,Last054,First054,C,20230905,7:00,15:30,8:30,REG,,,2.02E+11,T2448,47005,47005,CNMC
SCHEDIMPORT,50053,Last054,First054,C,20230906,7:00,15:30,8:30,REG,,,2.02E+11,T2448,47005,47005,CNMC
SCHEDIMPORT,50053,Last054,First054,C,20230907,7:00,15:30,8:30,REG,,,2.02E+11,T2448,47005,47005,CNMC
SCHEDIMPORT,50053,Last054,First054,C,20230908,7:00,15:30,8:30,REG,,,2.02E+11,T2448,47005,47005,CNMC
SCHEDIMPORT,50053,Last054,First054,C,20230911,7:00,15:30,8:30,REG,,,2.02E+11,T2448,47005,47005,CNMC
SCHEDIMPORT,50053,Last054,First054,C,20230912,7:00,15:30,8:30,REG,,,2.02E+11,T2448,47005,47005,CNMC
SCHEDIMPORT,50054,Last055,First055,M,20230905,19:00,7:30,12:30,REG,,,2.02E+11,A1143,42145,42160,CNMC
SCHEDIMPORT,50054,Last055,First055,M,20230907,19:00,7:30,12:30,REG,,,2.02E+11,A1143,42145,42145,CNMC
SCHEDIMPORT,50054,Last055,First055,M,20230909,19:00,7:30,12:30,REG,,,2.02E+11,A1143,42145,42145,CNMC
SCHEDIMPORT,50054,Last055,First055,M,20230910,19:00,7:30,12:30,REG,,,2.02E+11,A1143,42145,42145,CNMC
SCHEDIMPORT,50054,Last055,First055,M,20230912,19:00,7:30,12:30,REG,,,2.02E+11,A1143,42145,42145,CNMC
SCHEDIMPORT,50055,Last056,First056,,20230907,7:00,19:30,12:30,REG,,,2.02E+11,PC063,91685,91685,CNMC
SCHEDIMPORT,50056,Last057,First057,C,20230907,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42160,42160,CNMC
SCHEDIMPORT,50056,Last057,First057,C,20230908,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42160,42160,CNMC
SCHEDIMPORT,50056,Last057,First057,C,20230909,19:00,7:30,12:30,REG,,,2.02E+11,N1212,42160,42160,CNMC
